package	version	architecture	source	package_url	size	sha256	requested_by
rsync	3.2.7-1ubuntu1.5	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/r/rsync/rsync_3.2.7-1ubuntu1.5_amd64.deb	442954	8f952895697d19a6f1caa71f17c7d4e8c1f1fb485eb824ffe3e4c77dd587b338	apt-closure
runc	1.3.4-0ubuntu1~24.04.1	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/r/runc-app/runc_1.3.4-0ubuntu1%7e24.04.1_amd64.deb	9573850	6ddd64ed7ef1693dd95620a2b1148a4187ef4fe0819c3c3049fad9385ecfd5dc	apt-closure
rustc	1.75.0+dfsg0ubuntu1-0ubuntu7.4	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/r/rustc/rustc_1.75.0%2bdfsg0ubuntu1-0ubuntu7.4_amd64.deb	3371866	3a93935dacc3f6d6b85160506dadeedc0cfd311d83313f9e1f5135a065184449	apt-closure
sed	4.9-2ubuntu0.24.04.1	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/s/sed/sed_4.9-2ubuntu0.24.04.1_amd64.deb	193590	5406c0950df2653be3d4acaf9f169c51d30cf4a617b63423e64d2853b0d72b5c	apt-closure
skopeo	1.13.3+ds1-2ubuntu0.24.04.3	amd64	Ubuntu:noble-updates:universe:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/universe/s/skopeo/skopeo_1.13.3%2bds1-2ubuntu0.24.04.3_amd64.deb	6176576	d908a86538f6d4bc49ea9c7423e5fb279a5c8cfc1f9bc7bd505f8bfe25d29be3	apt-closure
socat	1.8.0.0-4ubuntu0.1	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/s/socat/socat_1.8.0.0-4ubuntu0.1_amd64.deb	374324	46e854289b6b1c97e28be5d9293bea61e8633d00d6a65d9513f019c7232696fe	apt-closure
sox	14.4.2+git20190427-4build4	amd64	Ubuntu:noble:universe:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/universe/s/sox/sox_14.4.2%2bgit20190427-4build4_amd64.deb	102806	70d26559a960425e5eee551a5c3fe340368c585cbce00f7937f16e7b19677202	apt-closure
squashfs-tools	1:4.6.1-1build1	amd64	Ubuntu:noble:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/s/squashfs-tools/squashfs-tools_4.6.1-1build1_amd64.deb	189326	87fae263846bab255d4a51ad9fc623685497ad830db60758dde39589c9fdadcb	apt-closure
strace	6.8-0ubuntu2	amd64	Ubuntu:noble:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/s/strace/strace_6.8-0ubuntu2_amd64.deb	584172	d588810ae26b06fee6678dc81e5b54f6efcde8e718e4589adb4d11d254b9820b	apt-closure
subversion	1.14.3-1build4	amd64	Ubuntu:noble:universe:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/universe/s/subversion/subversion_1.14.3-1build4_amd64.deb	907724	947f7bf951caaeb01218a2759dfc664f95724b13a99dc540eb22adac08ce6a6f	apt-closure
