package	version	architecture	source	package_url	size	sha256	requested_by
libasound2-data	1.2.11-1ubuntu0.3	all	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/a/alsa-lib/libasound2-data_1.2.11-1ubuntu0.3_all.deb	21350	0c26896193480d9dbb055e85e8ddfb9c9f34cf19afee340987cd6311e2886fc1	apt-closure
libasound2t64	1.2.11-1ubuntu0.3	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/a/alsa-lib/libasound2t64_1.2.11-1ubuntu0.3_amd64.deb	397772	5d17bfb5683eb99f1be951fe48e1be5bf3c52391913b6b74a8aecf9b4f5e779f	apt-closure
libassuan0	2.5.6-1build1	amd64	Ubuntu:noble:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/liba/libassuan/libassuan0_2.5.6-1build1_amd64.deb	37256	59c6ee6aa6fffb5d181f37373baec18c26791f5d1c907ceeb62163460b11daf2	apt-closure
libattr1	1:2.5.2-1build1.1	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/a/attr/libattr1_2.5.2-1build1.1_amd64.deb	11354	d880fdb65dec669fcc4c5b34c5cbfee6c014ec4bdf6430ecdc7f10efffb28b2e	apt-closure
libaudit-common	1:3.1.2-2.1build1.1	all	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/a/audit/libaudit-common_3.1.2-2.1build1.1_all.deb	5824	c8ab5bed96f9781daab7c36fcbe4b12c3f3247a37256c0e341dc827db1e9a010	apt-closure
libaudit1	1:3.1.2-2.1build1.1	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/a/audit/libaudit1_3.1.2-2.1build1.1_amd64.deb	46962	408457f91745dd33746d24d063986df96a81166d6a59431583073398cefa1301	apt-closure
libblkid1	2.39.3-9ubuntu6.5	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/u/util-linux/libblkid1_2.39.3-9ubuntu6.5_amd64.deb	123170	2307a9ed92642a69de0284ac63e233e45ac5a2c3831f04399f7d212379487e82	apt-closure
libboost-iostreams1.83.0	1.83.0-2.1ubuntu3.2	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/b/boost1.83/libboost-iostreams1.83.0_1.83.0-2.1ubuntu3.2_amd64.deb	259534	614e516fc34d3a9f4b39149c79bde94160631b6486943d9782e264ab475fcdc3	apt-closure
libboost-thread1.83.0	1.83.0-2.1ubuntu3.2	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/b/boost1.83/libboost-thread1.83.0_1.83.0-2.1ubuntu3.2_amd64.deb	275806	d6b7411fd5368a49ffe88ad66d471bc57a43c2bb4eb105ee3f5fb921bfdf8924	apt-closure
libbpf1	1:1.3.0-2build2	amd64	Ubuntu:noble:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/libb/libbpf/libbpf1_1.3.0-2build2_amd64.deb	165734	5654cbb145c2b299472cd208dd06c7dc09bf06cad4c4663fc42a865a51a0d96f	apt-closure
libbrlapi0.8	6.6-4ubuntu5	amd64	Ubuntu:noble:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/b/brltty/libbrlapi0.8_6.6-4ubuntu5_amd64.deb	31388	82272b3090c912e45d92ff7ed200de289c47e504513559377a6f6c5a372cbcf5	apt-closure
libbrotli1	1.1.0-2build2	amd64	Ubuntu:noble:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/b/brotli/libbrotli1_1.1.0-2build2_amd64.deb	330730	74492419b8fda803774b8c9acef6afc5d2f9ff31782635aae212906adae7b277	apt-closure
libbsd0	0.12.1-1build1.1	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/libb/libbsd/libbsd0_0.12.1-1build1.1_amd64.deb	41238	f3857b0863ac5cfd4263e9bf6cfb1d4be88d5321e4070d5bc2b62b0949e6c86f	apt-closure
libbz2-1.0	1.0.8-5.1build0.1	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/b/bzip2/libbz2-1.0_1.0.8-5.1build0.1_amd64.deb	34370	d557ab12b42ab370249142099fae3cbb979948934e4dfa58c2ab59bf5bbbda73	apt-closure
libc6	2.39-0ubuntu8.8	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/g/glibc/libc6_2.39-0ubuntu8.8_amd64.deb	3262434	3b8d5391b6b484a4c81fd000b6064885ad967ec3cb966bc57603f3fb3ebf0ed5	apt-closure
libcacard0	1:2.8.0-3build4	amd64	Ubuntu:noble:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/libc/libcacard/libcacard0_2.8.0-3build4_amd64.deb	36546	7a75de14b0fdff2828a3d218a49e7fe4da2df533185ba9ccbabd0647db05e33c	apt-closure
