package	version	architecture	source	package_url	size	sha256	requested_by
dbus-user-session	1.14.10-4ubuntu4.1	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/d/dbus/dbus-user-session_1.14.10-4ubuntu4.1_amd64.deb	9968	e585b1694b854c3b75bfb39cc4022cafe7b14e44fd435433b613b8fb9919cb41	apt-closure
dconf-gsettings-backend	0.40.0-4ubuntu0.1	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/d/dconf/dconf-gsettings-backend_0.40.0-4ubuntu0.1_amd64.deb	22074	2e6801f955d5960380b6240be3886162343e770b1c17c919674cbcb3d13be732	apt-closure
dconf-service	0.40.0-4ubuntu0.1	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/d/dconf/dconf-service_0.40.0-4ubuntu0.1_amd64.deb	27576	49bf5473474228d48373da639bbe3e77157b03d4467bfa2deb56168c2c03cd81	apt-closure
debconf	1.5.86ubuntu1	all	Ubuntu:noble:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/d/debconf/debconf_1.5.86ubuntu1_all.deb	124096	bb390da466a7461bfc87aa3e6b7cd145dae84af3e26bf437f2c0c218ba226294	apt-closure
debianutils	5.17build1	amd64	Ubuntu:noble:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/d/debianutils/debianutils_5.17build1_amd64.deb	89890	1047a9a57018e18531f76e5b00e226a68554b6f1d147f2a5c1b32518c7b20636	apt-closure
debootstrap	1.0.134ubuntu1	all	Ubuntu:noble:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/d/debootstrap/debootstrap_1.0.134ubuntu1_all.deb	48024	7f4a2ce84831f7219ca2bc51184d9e2ba859b309953a93b4765371e0ae4102e5	apt-closure
default-jdk	2:1.21-75+exp1	amd64	Ubuntu:noble:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/j/java-common/default-jdk_1.21-75%2bexp1_amd64.deb	926	cf1ead1249724ee34041412010eda98677c5962905dbab71dc5a619d943d3216	apt-closure
default-jdk-headless	2:1.21-75+exp1	amd64	Ubuntu:noble:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/j/java-common/default-jdk-headless_1.21-75%2bexp1_amd64.deb	960	b5742405fe1f276b936fbe91b0df6ddfd12c25eea082215da917e1dfb51b900f	apt-closure
default-jre	2:1.21-75+exp1	amd64	Ubuntu:noble:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/j/java-common/default-jre_1.21-75%2bexp1_amd64.deb	922	5b4cb4d2269e45a5beee59b00ef23250880dc1e8d696be7358a2cc73a158df8b	apt-closure
default-jre-headless	2:1.21-75+exp1	amd64	Ubuntu:noble:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/j/java-common/default-jre-headless_1.21-75%2bexp1_amd64.deb	3094	3cab975cad21d6ccb0aaee9ea5732ce361e6aa0e3d76ad1eb6026082e96f7db2	apt-closure
